translation	sentence_type	system	src	ref	hyp	BLEU_Score	CHRF++_Score	TER_Score
Fijian to English	idomatic	GPT-4	"""Veikilai na toa ni Qamea. Veikilai nodrau I tovo ni veitalanoa, veivosaki tale ga"""	"""They know each others ways, dialect and actions"""	“The warriors of Qamea are renowned. Their customs of discussion and dialogue are also well known.”	1.230068628846377	20.444116761962963	187.5
Fijian to English	idomatic	Gemini 1.5 Pro	"""Veikilai na toa ni Qamea. Veikilai nodrau I tovo ni veitalanoa, veivosaki tale ga"""	"""They know each others ways, dialect and actions"""	"""The chickens of Qamea know each other. They know their way of conversing, and also their discussions."""	2.6920508809559314	45.378333423228526	175
Fijian to English	idomatic	Google Translate	"""Veikilai na toa ni Qamea. Veikilai nodrau I tovo ni veitalanoa, veivosaki tale ga"""	"""They know each others ways, dialect and actions"""	"""The heroes of Qamea know each other. Know their way of talking, talk to each other"""	2.6012784404037923	35.71379853081681	175
Fijian to English	idomatic	Microsoft Translator	"""Veikilai na toa ni Qamea. Veikilai nodrau I tovo ni veitalanoa, veivosaki tale ga"""	"""They know each others ways, dialect and actions"""	"""The bravery of the people of Qamea is well known. Their character is demonstrated through discussions and conversations."""	1.0802314890908065	24.78070284318395	212.5
English to Fijian	idomatic	GPT-4	"""Bite off more than you can chew”"	"""Katia vakalevu na ka o rawa ni mama"""	"""Kua ni via colata e levu cake mai na ka o rawa ni colata."""	26.584835766658777	42.26356461	112.5
English to Fijian	idomatic	Gemini 1.5 Pro	"""Bite off more than you can chew”"	"""Katia vakalevu na ka o rawa ni mama"""	"""Cakava e levu cake mai na nomu kaukauwa."""	2.777619034011792	23.557234405673803	100
English to Fijian	idomatic	Google Translate	"""Bite off more than you can chew”"	"""Katia vakalevu na ka o rawa ni mama"""	"""Kania vakalevu cake mai na ka o rawa ni gunuva”"	41.11336169005197	59.98160002895801	50
English to Fijian	idomatic	Microsoft Translator	"""Bite off more than you can chew”"	"""Katia vakalevu na ka o rawa ni mama"""	"""Katia vakalevu cake mai na nomu rawa ni qara"""	7.583235673413396	58.48697439676015	62.5
Fijian to English	domain specific	GPT-4	"""E dau dredre me kilai na ivakatakilakila taumada ni dementia. E levu na mate e rawa ni vakavuna eso na ivakatakilakila ni mate e via tautauvata kei na dementia. E levu vei ira na mate oqori era rawa ni qaravi. E bibi gona mo raica vakatotolo na nomu vuniwai se vakailesilesi ni tabana ni bula kevaka ko lomaleqataka."""	"""The early signs and symptoms of dementia can be hard to notice. Many illnesses can cause dementia-like symptoms. Some of these illnesses are treatable. That is why you should see your doctor or health care provider if you are worried."""	"""The early signs of dementia can be difficult to identify. Many other illnesses can cause symptoms that are similar to those of dementia. Many of these conditions can be treated. It is therefore important to see your doctor or health professional quickly if you are concerned."""	21.520232157603747	53.505384068826864	60
Fijian to English	domain specific	Gemini 1.5 Pro	"""E dau dredre me kilai na ivakatakilakila taumada ni dementia. E levu na mate e rawa ni vakavuna eso na ivakatakilakila ni mate e via tautauvata kei na dementia. E levu vei ira na mate oqori era rawa ni qaravi. E bibi gona mo raica vakatotolo na nomu vuniwai se vakailesilesi ni tabana ni bula kevaka ko lomaleqataka."""	"""The early signs and symptoms of dementia can be hard to notice. Many illnesses can cause dementia-like symptoms. Some of these illnesses are treatable. That is why you should see your doctor or health care provider if you are worried."""	"""It is often difficult to identify the early signs of dementia. Many illnesses can cause symptoms that are similar to dementia. Many of those illnesses can be treated. Therefore, it is important that you see your doctor or a health official quickly if you are concerned."""	15.733666524507361	53.07736417093355	72.5
Fijian to English	domain specific	Google Translate	"""E dau dredre me kilai na ivakatakilakila taumada ni dementia. E levu na mate e rawa ni vakavuna eso na ivakatakilakila ni mate e via tautauvata kei na dementia. E levu vei ira na mate oqori era rawa ni qaravi. E bibi gona mo raica vakatotolo na nomu vuniwai se vakailesilesi ni tabana ni bula kevaka ko lomaleqataka."""	"""The early signs and symptoms of dementia can be hard to notice. Many illnesses can cause dementia-like symptoms. Some of these illnesses are treatable. That is why you should see your doctor or health care provider if you are worried."""	"""It is often difficult to recognize the early signs of dementia. There are many diseases that can cause some symptoms that are similar to dementia. Most of those diseases are treatable. So it is important to see your doctor or health care professional immediately if you are concerned."""	15.920362546548075	51.41653939756434	80
Fijian to English	domain specific	Microsoft Translator	"""E dau dredre me kilai na ivakatakilakila taumada ni dementia. E levu na mate e rawa ni vakavuna eso na ivakatakilakila ni mate e via tautauvata kei na dementia. E levu vei ira na mate oqori era rawa ni qaravi. E bibi gona mo raica vakatotolo na nomu vuniwai se vakailesilesi ni tabana ni bula kevaka ko lomaleqataka."""	"""The early signs and symptoms of dementia can be hard to notice. Many illnesses can cause dementia-like symptoms. Some of these illnesses are treatable. That is why you should see your doctor or health care provider if you are worried."""	"""It can be difficult to recognize the early signs of dementia. Many conditions can cause symptoms that closely resemble those of dementia. Many of those illnesses can be treated. Therefore, it is important to see your doctor or health department promptly if you have concerns."""	13.182877145894317	49.80216978407566	77.5
English to Fijian	domain specific	GPT-4	"""This is the most common form of dementia. Around two-thirds of people
with dementia have Alzheimers disease. Changes seen in the brain include
shrinkage and a build-up of abnormal proteins (plaques and tangles)."""	"""Oqo na matatali dementia e dau yaco vakalevu. E rauta ni rua na ikatolu vei
ira na tauvi dementia era Alzheimers. Kunei ni sa lailai sobu na mona oka
kina na kena tubucake na protein vakatubu mate (plagues and tangles)."""	"""Oqo na mataqali dementia e dau laurai vakalevu duadua. E rauta ni rua vei na tolu na lewenivanua era vakilai ena dementia era tauvimate ena mate ni Alzheimer. Na veiveisau e laurai ena mona e wili kina na kena vakamami lailai kei na kena kumuni na protein sega ni rairai vakaidina (plaques kei na tangles)."""	10.513349070588397	53.454093531528855	87.5
English to Fijian	domain specific	Gemini 1.5 Pro	"""This is the most common form of dementia. Around two-thirds of people
with dementia have Alzheimers disease. Changes seen in the brain include
shrinkage and a build-up of abnormal proteins (plaques and tangles)."""	"""Oqo na matatali dementia e dau yaco vakalevu. E rauta ni rua na ikatolu vei
ira na tauvi dementia era Alzheimers. Kunei ni sa lailai sobu na mona oka
kina na kena tubucake na protein vakatubu mate (plagues and tangles)."""	"""Oqo na mataqali dementia e dau levu duadua. E rauta ni rua na ikatelu ni lewenivanua era tu vei ira na dementia era tiko na mate ni Alzheimer. Na veisau e laurai ena mona e okati kina na kena mamaca kei na soqoni vata ni protein e sega ni dodonu (plaques kei na tangles)."""	14.757569524382832	54.67664484324901	80
English to Fijian	domain specific	Google Translate	"""This is the most common form of dementia. Around two-thirds of people
with dementia have Alzheimers disease. Changes seen in the brain include
shrinkage and a build-up of abnormal proteins (plaques and tangles)."""	"""Oqo na matatali dementia e dau yaco vakalevu. E rauta ni rua na ikatolu vei
ira na tauvi dementia era Alzheimers. Kunei ni sa lailai sobu na mona oka
kina na kena tubucake na protein vakatubu mate (plagues and tangles)."""	"""Oqo na ivakarau ni mate ni vakasama e dau yaco vakalevu duadua. E rauta ni rua na ikatolu ni tamata .
na mate ni vakasama e tiko kina na mate ni Alzheimer. Na veisau e laurai ena uto e oka kina na .
vakalailaitaki kei na dua na tara cake ni protein sega ni dodonu (na veitiki ni yago kei na veivakacacani)."""	12.805437728621635	46.553686148017256	110.00000000000001
English to Fijian	domain specific	Microsoft Translator	"""This is the most common form of dementia. Around two-thirds of people
with dementia have Alzheimers disease. Changes seen in the brain include
shrinkage and a build-up of abnormal proteins (plaques and tangles)."""	"""Oqo na matatali dementia e dau yaco vakalevu. E rauta ni rua na ikatolu vei
ira na tauvi dementia era Alzheimers. Kunei ni sa lailai sobu na mona oka
kina na kena tubucake na protein vakatubu mate (plagues and tangles)."""	"""Oqo na yasana ni dementia e vuqa ena veika e vakayacori. E rauta na batiri ni tamata e tiko ena dementia e tiko na disease ni Alzheimers. Na veisau e raica ena yalo e okati kina na wainiwa kei na kena curu mai na veika e sega ni dua na i voli (plaques kei na tangles)."""	1.7875390617108518	43.02147355418093	107.5
