domain,subdomain,source_id,source_doc,source_lang,target_lang,direction,source_text,target_text,sentence_type,sentence_type_fine
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0008159,Fijian-English_Dictionary.txt,fj,en,fj->en,vu,". n.,v. to cough ; or as a “cold” that implies coughing. sa manati au na vu. i have a fit of coughing, have a cold that makes me cough. vuvu continued coughing.",short,statement
bible,genesis,bible|genesis|007|024,bible_genesis_verse__en2fj.csv,en,fj,en->fj,and the waters prevailed upon the earth an hundred and fifty days.,sa tiko ga na wai e vuravura me dua na drau limasagavulu na siga.,medium,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0008849,Fijian-English_Dictionary.txt,fj,en,fj->en,yavala-taka,"v. to ""work "" or “run” (as of an engine)",short,statement
medical,dementia_support,medical|dementia_support|eb8f945ed749,ocr_txt_bundle::dementia_support,en,fj,en->fj,A third of people with Alzheimer's have a close relative with dementia.,E rauta ni dua mai na lewe tolu vei ira na tauvi Alzheimers e tiko na wekadra voleka e tauvi dementia.,medium,information
bible,genesis,bible|genesis|015|006,bible_genesis_verse__en2fj.csv,en,fj,en->fj,and he believed in the lord; and he counted it to him for righteousness.,"sa vakabauti jiova o eparama, na kalou sa wiliki eparama me yalododonu.",medium,statement
legal,constitution,constitution|134(6),constitution - itaukei.txt,fj,en,fj->en,"e sega ni dua na tikina ena wasetiki () e yalana na itavi ni matanitu me baleta na ituvatuva ni veiqaravi vakamatanitu, se na polisi me baleta na cicivaki ni veiqaravi vakamatanitu.","nothing in subsection () limits the responsibility of the government for the structure of the state service, nor the government’s general policy responsibility for the management of the state service.",long,legal_clause
definition,definition,definition|000494,definition.xlsx::Sheet1,fj,en,fj->en,"oqori, oya",that (adj.),short,headword
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0005981,Fijian-English_Dictionary.txt,fj,en,fj->en,sipika,(eng.) n. speaker (of legislative body). syn. sivika .,short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0006511,Fijian-English_Dictionary.txt,fj,en,fj->en,itagitagi,"n. larynx, vocal chords, throat. lotu tagitagi or lotu qiriqiri, assemblies of god church, a",short,statement
bible,genesis,bible|genesis|018|030,bible_genesis_verse__en2fj.csv,en,fj,en->fj,"and he said unto him, oh let not the lord be angry, and i will speak: peradventure there shall thirty be found there. and he said, i will not do it, if i find thirty there.","sa tukuna tale, ""me kua ni cudru mada o jiova, au na qai vosa: kevaka mada ga sa kune kina e tolusagavulu na yalododonu? "" sa sauma yani o jiova, ""au na sega ni cakava ena vukudra na tolusagavulu na yalododonu oqori. """,long,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0005982,Fijian-English_Dictionary.txt,fj,en,fj->en,siqeleti,"(eng.) n. singlet, men's undershirt. siqeleti domo coko turtle-neck or high neck singlet. siri v . to disappear suddenly. sa siri oti. it/he/she has already disappeared. idiom: vaka e siri na saku suddenly, lit. the way the saku, tom fish, tylosurus crocodilis, disappears.",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0005988,Fijian-English_Dictionary.txt,fj,en,fj->en,sisa,(eng. caesar) v. do a caesarian surgical operation for a mother to give birth.,short,statement
bible,genesis,bible|genesis|036|004,bible_genesis_verse__fj2en.csv,fj,en,fj->en,o ada sa vakasucumi elifasi vei iso kei vasemaca sa vakasucumi rueli.,and adah bare to esau eliphaz; and bashemath bare reuel;,medium,statement
legal,constitution,constitution|88(2),constitution - itaukei.txt,fj,en,fj->en,na vakacegui ni peresitedi mai na nona veiqaravi me na vakayacori ga ena tikina qo. ----------------------- page -----------------------,removal of the president from office must only be done pursuant to this section.,long,legal_clause
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0000870,Fijian-English_Dictionary.txt,fj,en,fj->en,vakacava,"how. vakacava ? how are things? what ’s up? vakacava o koya ? how is he/she doing? me caka vakacava ? how to do it? cava, cavaraka v. to reach a place or time when something has been completed, end of voyage, end of story or letter. sa cava mada eke na noqu talanoa. my story ends here. nomu cavacava where you end up. cavaraka to make a full disclosure, to disclose it fully. vakacava, vakacavara v. to complete, to finish (a task).",short,statement
bible,genesis,bible|genesis|018|019,bible_genesis_verse__en2fj.csv,en,fj,en->fj,"for i know him, that he will command his children and his household after him, and they shall keep the way of the lord, to do justice and judgment; that the lord may bring upon abraham that which he hath spoken of him.","""ni'u sa kilai koya, me rawa kina vua me vakaroti ira na luvena kei ira na nona vuvale era muri koya, me ra muria na sala i jiova, me ra cakava na ka dodonu kei na lewa, me kauta mai kina o jiova vei eparaama na veika sa vosa oti kina vua. """,long,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0002536,Fijian-English_Dictionary.txt,fj,en,fj->en,karakara,"levu v. to talk with unpleasantly loud voice(s), rowdy (as of children) and thus self-assertive and disrespectful.",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0001395,Fijian-English_Dictionary.txt,fj,en,fj->en,dauvere,n. tempter. dauvere-taka to tempt by tricking.,short,statement
legal,constitution,constitution|1(5)(c),constitution - eng.txt,en,fj,en->fj,limitations which are not expressly set out or authorised (whether by or under a written law) in relation to a particular right or freedom in this under a law or authorised or permitted by a law or by actions taken under the authority of a law.,so na vanua e sega ni vakarautaki se vakadonui (veitalia ke virikotori ena lawa tabaki se sega) ena tiki ni dodonu se galala ena wase qo; ia e gadrevi ka tauyavutaki vakalawa se vakarautaki ena dua na lawa se vakadonui vakalawa se vakayacori ena veivakadonui vakalawa.,long,legal_clause
definition,definition,definition|000681,definition.xlsx::Sheet1,en,fj,en->fj,papwe,ualeti,short,headword
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0007799,Fijian-English_Dictionary.txt,fj,en,fj->en,conservative,villagers considered ignorant and backward by the younger generation. stone axes were,short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0008864,Fijian-English_Dictionary.txt,fj,en,fj->en,fish,"and then is hauled in. the scare-line is a sort of rope, with leaves attached, that floats at the surface. the occasion is joyous, gathering fish for some upcoming feast, and sharing among the villagers. similar traditional fishing took place on the wainimala river in the highlands of viti levu,",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0008777,Fijian-English_Dictionary.txt,fj,en,fj->en,yaqona,to his devil. this is a faustian concept. his disadvantage is that he must keep up serving,short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0005068,Fijian-English_Dictionary.txt,fj,en,fj->en,qiqi,". n. wagon, trailer, cart. qiqi ukutaki n. decorated ""float"" (as in a parade, such as suva city ’s hibiscus festival). qiqi vakaivalu military tank. vaqiqi, vaqiqica to roll something. to cause something to be",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0005961,Fijian-English_Dictionary.txt,fj,en,fj->en,swimming,"(for fun, not purposeful swimming). purposeful swimming would be qalo. idiom: silima na gau ni dali. to interfere, to butt into a conversation. idiom: sili vakaivavalagi to bathe by rubbing the body with a wet towel rather than bathing in the water. this may be done in cold weather or when the water is very cold.",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0007907,Fijian-English_Dictionary.txt,fj,en,fj->en,from malesia east to,"samoa, superficially similar to the vesi intsia bijuga, though unrelated. vesi wai is a very dense wood. pink fls, cm diam., pods in clusters, peaked apices. seasonally, may lose all its leaves. syn. (lau) vesivesi. vesu, vesuka . v. to capture (escaped prisoner), tackle (rugby). na veivesu the tackling (rugby). vale ni",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0001656,Fijian-English_Dictionary.txt,fj,en,fj->en,ulumu,your hair (on head). na drauniulu the hair (of the head). soft body hair is vuti-na. idiom: coka i drauna. all dressed up in finery.,short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0005628,Fijian-English_Dictionary.txt,fj,en,fj->en,sama,"n. small tree, commersonia bartramia, sterculiaceae, wood soft like vau (hibiscus shrub), but brown colour. flowers are white, begin blooming in early december through early june. there are two varieties, sama ni vanua, and sama ni wai.",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0005118,Fijian-English_Dictionary.txt,fj,en,fj->en,vaqumia-i-ligana,"v. to pass off something to someone secretly, putting it in their hand inconspicuously. qumu n. large tree to m., acacia richii, mimosaceae, endemic to fiji on the two major islands, small, pale yellow flowers in fluffy , globose heads and fruit (linear pods to cm) may to december. bark provides a",short,statement
definition,definition,definition|000528,definition.xlsx::Sheet1,en,fj,en->fj,wide,raraba,short,headword
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0006401,Fijian-English_Dictionary.txt,fj,en,fj->en,tabono,"v. to become blocked, closed off, as fallen leaves might block a drain. see bono, bonota.",short,statement
bible,genesis,bible|genesis|001|009,bible_genesis_verse__en2fj.csv,en,fj,en->fj,"and god said, let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.","na kalou sa tukuna, ""na wai kece ena ruku i lomalagi, me vakasoqoni kece ena dua na vanua, ka me basika mai na vanua mamaca; "" sa yaco me vakakina.",long,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0002144,Fijian-English_Dictionary.txt,fj,en,fj->en,scales,"and tough skin, guru is usually grilled on a fire and then skinned. dorsal spines make the fish",short,statement
definition,definition,definition|000150,definition.xlsx::Sheet1,en,fj,en->fj,"he she it, in at",e,short,example
bible,genesis,bible|genesis|002|001,bible_genesis_verse__fj2en.csv,fj,en,fj->en,"na veilomalagi kei na vuravura, kei na ka kecega sa tiko kina, sa buli oti.","thus the heavens and the earth were finished, and all the host of them.",medium,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0000452,Fijian-English_Dictionary.txt,fj,en,fj->en,it,smells good (bad). boilevu smells very bad. boi kamakama has a burnt smell. boi bunobuno,short,statement
definition,definition,definition|000242,definition.xlsx::Sheet1,fj,en,fj->en,kakana,food,short,headword
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0006632,Fijian-English_Dictionary.txt,fj,en,fj->en,tamatama,"n. mature male, of an animal such as chicken (rooster), pig (boar), cattle (bull).",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0007748,Fijian-English_Dictionary.txt,fj,en,fj->en,grilled,over a fire. that spongy material replaces the water and flesh inside the coconut as it starts to sprout and form roots.,short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0004065,Fijian-English_Dictionary.txt,fj,en,fj->en,mata dredredre,"smile, smiling.",short,statement
legal,constitution,constitution|8(12),constitution - eng.txt,en,fj,en->fj,"in any proceedings, evidence obtained in a manner that infringes any right in this chapter, or any other law, must be excluded unless the interests of justice require it to be admitted. executive and administrative justice .—() subject to the provisions of this constitution and such other limitations as may be prescribed by law—",na matabose me na lewa na kena vakayagataki na ituvatuva vakailavo e sa vakadonuya na palimedi. ----------------------- page ----------------------- na lewa ni buli lawa kei na kaukauwa ni palimedi .—() na kaukauwa ni buli lawa ni matanitu sa vakatikori e na palimedi era palimedi ka tokona na peresitedi.,long,obligation
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0002112,Fijian-English_Dictionary.txt,fj,en,fj->en,goletaka,"v. to shake back and forth sharply or forcibly. goletaka na uluna shake the head sharply from side to side, as in certain dance motions.",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0005240,Fijian-English_Dictionary.txt,fj,en,fj->en,rarawa,"n. sorrow, sadness.",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0002291,Fijian-English_Dictionary.txt,fj,en,fj->en,kabote,". n. yellow-breasted musk parrot of viti levu, prospeia personata. it cannot be taught to speak",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0000150,Fijian-English_Dictionary.txt,fj,en,fj->en,there,are many local names. in urban areas on good friday a primitive fiji version of hot cross buns,short,statement
bible,genesis,bible|genesis|036|029,bible_genesis_verse__en2fj.csv,en,fj,en->fj,"these are the dukes that came of the horites; duke lotan, duke shobal, duke zibeon, duke anah,","sai ira oqo na veituraga e oraite: o lotani na turaga, o sobali na turaga, o sibione na turaga, o anae na turaga,",medium,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0006981,Fijian-English_Dictionary.txt,fj,en,fj->en,fijian,"version was composed by a vusaradave chief at the request of the vunivalu of bau, ratu george cakobau. teivovoi is probably an abbrev. of tei voavoa, with voavoa referring to a field that is",short,statement
bible,genesis,bible|genesis|006|021,bible_genesis_verse__fj2en.csv,fj,en,fj->en,"""mo kauta mai vei iko na kakana kecega e laukana, mo kumuna vei iko na kakana kei na kedra talega na manumanu. ""","and take thou unto thee of all food that is eaten, and thou shalt gather it to thee; and it shall be for food for thee, and for them.",medium,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0005402,Fijian-English_Dictionary.txt,fj,en,fj->en,might be the origin of the name,"for the waciwaci people of lau, though waciwaci is also a name of a tree.",short,statement
legal,constitution,constitution|157(2)(h),constitution - itaukei.txt,fj,en,fj->en,valenivolavola e tauyavutaki ena lawa tabaki. “vakailesilesi ena valenivolavola ni lewenivanua” e vakaibalebale vua e dua e vakaitutu ena valenivolavola ni lewenivanua; “veiqaravi ni matanitu” e vakaibalebale ena veiqaravi ni matanitu vei ira na lewenivanua ka sega ni oka kina na—,an office established by written law; “public officer ” means the holder of a public office; “public service ” means the service of the state in a civil capacity but does not include—,long,legal_clause
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0008890,Fijian-English_Dictionary.txt,fj,en,fj->en,misconceived,"assumption that all land “belonged” to some fij ian clan. in fact, most land was uninhabited, no-man ’s land, unused and too exposed to attack for anyone to live there. people lived very compactly in tiny enclaves. iyaya n. gear, baggage, belongings, and by extension: iyaya vakatagane male genitals, private parts, the polite and usual term.",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0008190,Fijian-English_Dictionary.txt,fj,en,fj->en,that the fruit of this variety,"(and also watermelon, by the way) will crack open if there is any thunder.",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0002117,Fijian-English_Dictionary.txt,fj,en,fj->en,gonedau,"n. traditional type of kin-group serving a paramount chief as fishermen (usually of turtle), or",short,statement
definition,definition,definition|000672,definition.xlsx::Sheet1,en,fj,en->fj,a title,tui,short,headword
legal,constitution,constitution|109(15),constitution - itaukei.txt,fj,en,fj->en,"na matabose e tu vua na kaukauwa me vakatulewataka na veika vakacakacaka me baleti ira na vakailesilesi ena matabose, okati kina—","the commission has the authority to determine all matters pertaining to the employment of all staff in the commission, including—",long,legal_clause
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0003223,Fijian-English_Dictionary.txt,fj,en,fj->en,kumala,"(polyn.) n. sweet potato. this word and the plant have their origins in south america, proving",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0001614,Fijian-English_Dictionary.txt,fj,en,fj->en,dovu,n. sugar cane. dovu kama brown sugar. qaqi ni dovu sugar mill. sitima ni dovu sugar-cane train. gunu dovu chew and suck sugar cane (it is considered a beverage). indigenous sugar canes were,short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0002090,Fijian-English_Dictionary.txt,fj,en,fj->en,sucu,shake the milk bottle. gedea na niu shake the coconut (to check for presence of internal liquid).,short,statement
bible,genesis,bible|genesis|039|007,bible_genesis_verse__fj2en.csv,fj,en,fj->en,"ni sa yaco tiko na veika oqo, na wati potifa sa domoni joseva vakalevu, sa mani tukuna kina vei joseva, ""daru veidomoni mada. ""","and it came to pass after these things, that his master's wife cast her eyes upon joseph; and she said, lie with me.",long,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0007064,Fijian-English_Dictionary.txt,fj,en,fj->en,tikotiko kina,". . . idiom: once upon a time (there lived, there was) . . . -- as said in beginning to tell a story.",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0007977,Fijian-English_Dictionary.txt,fj,en,fj->en,origin,"of the fij ian name ""viti"" for fiji, ""fij i"" being the english spelling for the tongan pronounciation of viti. viti, vitika . v. to break something. vitika na taba ni kau. break the branch of the tree. ka viti broken.",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0002370,Fijian-English_Dictionary.txt,fj,en,fj->en,kaile,"mila or kaile gaga or kaile dranu n. wild, high-climbing aerial yam, d. bulbifera. only the large hairy underground tuber is eaten, not the more poisonous small round tubers that grow off aerial roots.",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0003331,Fijian-English_Dictionary.txt,fj,en,fj->en,laca,"n. sail, canvas. waqa laca sailboat. vale laca tent. fijian sails were formerly made of pandanus leaves, and were a specialty of the yasawa islands. they were a key reason for bau ’s interest in control of the northern yasawas. ivava laca canvas shoes. kaba promontory of southeastern viti levu had the responsibility of maintaining the sails of bauan canoes.",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0003859,Fijian-English_Dictionary.txt,fj,en,fj->en,some resemblance to the fragrant makosoi,(or) mokosoi.,short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0003529,Fijian-English_Dictionary.txt,fj,en,fj->en,lesoni,"(eng.) n. lesson. lesu, lesuya v. to return, to return it, return to it or from it, to have been to some place. lesu! go back ! return ! (to where you came from). o lesu maivei? where have you been? o sa lesu mai labasa ?",short,statement
bible,genesis,bible|genesis|014|012,bible_genesis_verse__en2fj.csv,en,fj,en->fj,"and they took lot, abram's brother's son, who dwelt in sodom, and his goods, and departed.","era sa kauti loti talega “na luvei taci eparama, o koya sa tiko mai sotoma, kei na veika kece e nona, ka lako.",medium,statement
definition,definition,definition|000723,definition.xlsx::Sheet1,fj,en,fj->en,vaka-malua,slowly,short,headword
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0000289,Fijian-English_Dictionary.txt,fj,en,fj->en,becerui,apparently agreeable but in fact uncooperative.,short,statement
bible,genesis,bible|genesis|037|017,bible_genesis_verse__en2fj.csv,en,fj,en->fj,"and the man said, they are departed hence; for i heard them say, let us go to dothan. and joseph went after his brethren, and found them in dothan.","sa tukuna mai na tamata, ""era sa lako tani eke, ia, au sa rogoci ira ga ni ra sa tukuna, 'tou lako ki tocani. '"" a sa lako yani o joseva ka kunei iratou na tuakana e tocani.",long,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0008124,Fijian-English_Dictionary.txt,fj,en,fj->en,groom,after they have been given to understand that the proposal will be accepted. such formalities might only apply for high chiefs.,short,statement
bible,genesis,bible|genesis|035|004,bible_genesis_verse__en2fj.csv,en,fj,en->fj,"and they gave unto jacob all the strange gods which were in their hand, and all their earrings which were in their ears; and jacob hid them under the oak which was by shechem.","era sa solia vei jekope na veikalou tani, kei na kena sau ni daliga “o jekope sa vunitaka ena ruku ni veikau e sikemi.",long,statement
conversational,years_9_10,conversational|years_9_10|00038,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,en,fj,en->fj,her favourite food is roti and chicken curry.,na kena kakana taleitaki na roti kei na kari toa.,short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0008715,Fijian-English_Dictionary.txt,fj,en,fj->en,arm,"motion, with the palm facing down, not up, as is european custom. it would be rude to beckon",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0002191,Fijian-English_Dictionary.txt,fj,en,fj->en,drive,the fish. these stone sinkers (vatu-kata-i-lawa) were the only stone implements ever used by highlanders.,short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0002897,Fijian-English_Dictionary.txt,fj,en,fj->en,four yellow markings on the,side. village daku and settlement kaleli have a tradition of catching ki,short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0001206,Fijian-English_Dictionary.txt,fj,en,fj->en,surrendering,"to christianity. they were bowed down in defeat but were not slaughtered which suggests this happened during christian times. vakacuva, vakacuvara v. to turn upside down, turn over and down. mo savata na kuro qai vakacuva (or) vakacuvara. wash the pot then set it upside-down. sa vakacuvari na kuro ? is the pot turned over?",short,statement
legal,constitution,constitution|70(9),constitution - eng.txt,en,fj,en->fj,"the salaries, benefits and allowances payable to the secretary-general to parliament and any person employed in parliament are a charge on the consolidated fund.","na isau, idole kei na oco me soli vua na vunivola levu ni palimedi kei ira na vakailesilesi ni palimedi me saumi mai ena umailavo cokovata ni matanitu.",long,legal_clause
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0005736,Fijian-English_Dictionary.txt,fj,en,fj->en,base,"of trees, where they spend much of their time. iguanas are found in yasawa and mamanuca",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0000856,Fijian-English_Dictionary.txt,fj,en,fj->en,outdoors,"at night/early morning. ia, evei ga o kana caucau tu mai kina o iko ? well, just where are you running around at night? va-kana-caucau-taka walk around idly at night with someone (usually a baby); in colo east this is considered unhealthy for the baby during the late night, but a healthy thing to do once the very early dawn begins to break.",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0008029,Fijian-English_Dictionary.txt,fj,en,fj->en,ivolavosa,"(anglicism) n. writing, dictionary.",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0006230,Fijian-English_Dictionary.txt,fj,en,fj->en,vakasuasua-taka,"v. to wet, throw water on, to water (garden). vakata-suasua, vakasuasuataka v. to entertain. dau vakatasuasua entertainer(s). vakatasuasua n.",short,statement
bible,genesis,bible|genesis|028|012,bible_genesis_verse__fj2en.csv,fj,en,fj->en,"sa qai tadra, ka raica ni sa dua nai kabakaba sa lako yani e vuravura ka yacovi lomalagi, kei ira na agilosi ni kalou era sa veilakoyaki tiko kina “lako cake ka lako sobu mai.","and he dreamed, and behold a ladder set up on the earth, and the top of it reached to heaven: and behold the angels of god ascending and descending on it.",long,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0008687,Fijian-English_Dictionary.txt,fj,en,fj->en,yago-ni-mate,n. corpse. mate dead.,short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0003817,Fijian-English_Dictionary.txt,fj,en,fj->en,madua,"n., adj . shame, ashamed, be embarrassed in front of people and thus lose face. mamadua shy, bashful, prone to inappropriate fear or shame.",short,statement
bible,genesis,bible|genesis|049|009,bible_genesis_verse__fj2en.csv,fj,en,fj->en,"o juta na luve ni laione; mai na baca, na luvequ, o na tubu cake, ena cuva sobu, ena davo sobu me vaka na laione; io, me vaka na laione, ena tucake ka kuretaki koya, o cei me na vakacudrui koya?","judah is a lion's whelp: from the prey, my son, thou art gone up: he stooped down, he couched as a lion, and as an old lion; who shall rouse him up?",long,statement
legal,constitution,constitution|20,constitution - itaukei.txt,fj,en,fj->en,veimaliwai vakacakacaka,employment relations,short,legal_clause
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0004073,Fijian-English_Dictionary.txt,fj,en,fj->en,mata kanikani,freckle-faced.,short,statement
definition,definition,definition|000067,definition.xlsx::Sheet1,en,fj,en->fj,wind (n.),cagi,short,headword
