seg_id,domain,sentence_type,direction,source,reference,system_masked,system_true,hypothesis,error_present,error_types,severity,rationale,annotator
SEG000313,legal,,fj->en,"dodonu ni taukeni kei na taqomaki ni qele ni itaukei, rotuma kei na rabi","rights of ownership and protection of itaukei, rotuman and banaban lands",S01,microsoft_translate,"Property rights and protection of the lands of the proprietors, rats and rabbis.",,,,,annotator_A
SEG000048,conversational,,en->fj,what for?,me kani cava?,S03,chatgpt,na cava?,,,,,annotator_A
SEG000342,legal,,fj->en,"ena nona vakatulewa cecere, na peresitedi ena vakatulewa ga ena ivakasala ni boseyaco se minisita se dua tale na tabana vakacakacaka se matabose e virikotori ena ivakatagedegede me digitaki kina na peresitedi .—() o ira era tawana na itutu ni peresitedi e dodonu me—","in the exercise of his or her powers and executive authority, the president acts only on the advice of cabinet or a minister or of some other body or authority prescribed by this constitution for a particular purpose as the body or authority on whose advice the president acts in that case. qualification for appointment .—() a person shall not be qualified to be nominated for the office of the president unless he or she—",S04,google_translate,"in his or her supreme capacity, the president shall be appointed only on the advice of the council or minister or other executive branch or council prescribed in the criteria for the election of the president .—() those who hold the office of president shall—",,,,,annotator_A
SEG000242,legal,,en->fj,"service in an office created by, or continued in existence under, this “session”, in relation to parliament, means a sitting of parliament starting when it first meets after a prorogation of parliament or a dissolution of parliament and ending when parliament is next prorogued or parliament is next dissolved; “sentence of imprisonment” does not include a suspended sentence or a sentence of imprisonment with the option of a fine; “sitting”, in relation to parliament, means a period during which parliament is sitting continuously without adjournment, and includes any period during which parliament is in committee; “speaker” means the speaker of parliament; “state” means the republic of fiji; “state of emergency” means a state of emergency proclaimed under chapter ; “state service” means the public service and the disciplined force; “subordinate court” means any court of law established for the state other than the high court, court of appeal, supreme court or a court established by a disciplinary law; “subordinate law” means any instrument made in exercise of a power to make the instrument conferred by an act, and includes regulations, rules, orders, by-laws or declarations; “this constitution” means the constitution of the republic of fiji; and “written law” means an act, decree, promulgation and subordinate law made under those acts, decrees or promulgations. ----------------------- page -----------------------","veiqaravi e tauyavutaki, se veiqaravi e tomani ena yavunivakavulewa qo; “gauna ni bose” ena palimedi, e vakaibalebale ena gauna e dabe kina na palimedi ni oti kena rube se bokoci na palimedi ka qai oti ni sa vakarubeci se sa bokoci tale na palimedi; “tau ni totogi” e sega ni wili kina na veilewai ka vakarubeci se na tau ni totogi kevaka e lavaki me totogi ilavo; “dabe” e na palimedi, e vakaibalebale ena gauna e bose tiko kina na palimedi ka sega ni vakarubeci, ka okati tale ga na gauna e bose kina na komiti ni palimedi; “sipika” e vakaibalebale vua na sipika ni palimedi; “vakamatanitu” e vakaibalebale ena matanitu tugagala o viti; “tikoleqa vakamatanitu” e vakaibalebale ena gauna e tikoleqa kina na matanitu me vaka e vakamacalataki ena wase ; “cakacaka vakamatanitu” e vakaibalebale ena cakacaka vakamatanitu kei na ----------------------- page ----------------------- “mataveilewai lalai tale e so” e vakaibalebale i na dua na mataveilewai tauyavutaki vakalawa e viti ka sega ni oka kina na mataveilewai e cake, mataveilewai ni rogokudru, mataveilewai cecere, se dua tale na mataveilewai ka tauyavutaki vakalawa ena vuku ni veitotogitaki ni ivakarau ni cakacaka; “lawa veivuke” e vakaibalebale ena dua na vakatulewa e vakaturi ena dua na kaukauwa me vakadeitaka na vakatulewa e soli ena lawa tabaki, okati kina na lawasau, lewa, ivakaro, lawatiki se itukutuku; “yavunivakavulewa qo” e vakaibalebale ena yavunivakavulewa ni matanitu tugalala o viti ; kei na ‘lawa tabaki” e vakaibalebale ena lawatu, dikiri, poromoliqeti kei na lawa veivuke e yavutaki mai na lawatu, dikiri kei na poromoliqeti.",S04,google_translate,"veiqaravi ena dua na valenivolavola e bulia, se tomani tikoga ena ruku ni “soqoni” oqo, me baleta na palimedi, e kena ibalebale e dua na dabe ni palimedi ka tekivu ena gauna e sota kina ena imatai ni gauna ni oti e dua na kena vakalekalekataki na palimedi se kena vakawabokotaki na palimedi ka cava ena gauna e vakabalavutaki tale kina na palimedi se vakawabokotaki tale na palimedi; “itotogi ni vesu” e sega ni okati kina na itotogi vakalekaleka se na itotogi ni vesu kei na digidigi ni itotogi; “dabe”, me baleta na palimedi, e kena ibalebale e dua na gauna e dabe tikoga kina na palimedi ka sega ni vakadaroi, ka okati kina na gauna cava ga e tiko kina na komiti ni palimedi; “vosa” e kena ibalebale na vosa ni palimedi; “matanitu” e kena ibalebale na matanitu o viti; “ituvaki ni leqa tubukoso” e kena ibalebale e dua na ituvaki ni leqa tubukoso e kacivaki ena ruku ni wase ; “veiqaravi vakamatanitu” e kena ibalebale na veiqaravi raraba kei na kaukauwa ni veivakadodonutaki; “mataveilewai lailai” e kena ibalebale e dua na mataveilewai ni lawa e tauyavutaki me baleta na matanitu ka sega ni mataveilewai cecere, mataveilewai ni veibeitaki, mataveilewai cecere se dua na mataveilewai e tauyavutaki ena lawa ni veivakadodonutaki; “lawa vakamalumalumutaki” e kena ibalebale e dua na iyaya ni cakacaka e caka ena kena vakayagataki e dua na kaukauwa me caka kina na iyaya ni cakacaka e soli ena dua na lawa, ka okati kina na lawatu, lawatu, ivakaro, lawa lalai se veivakadeitaki; “yavu ni vakavulewa oqo” e kena ibalebale na yavu ni vakavulewa ni matanitu o viti; kei na “lawa volai” e kena ibalebale e dua na cakacaka, lewa, veivakadeitaki kei na lawa lailai e caka ena ruku ni veicakacaka, vakatulewa se veivakadeitaki oqori. tabana e",,,,,annotator_A
SEG000084,conversational,,fj->en,na vuata cava soti o rawa ni kunea mai vale?,what are some of the fruits readily available at your home?,S03,chatgpt,What do you want to find out about at home?,,,,,annotator_A
SEG000182,definition,,fj->en,sitoa,shop,S01,microsoft_translate,shop,,,,,annotator_A
SEG000153,definition,,en->fj,the,"na, a",S04,google_translate,na,,,,,annotator_A
SEG000271,legal,,en->fj,any application made to the court of disputed returns under this section must be determined by the court of disputed returns within days of the date when the application is made to it.,na kerekere e kau cake mai ena mataveilewai ni kudru ni veidigidigi ena tikina qo e dodonu me na vakatulewa kina na mataveilewai ni kudru ni veidigidigi ena loma ni na siga mai na siga e ciqoma kina na kerekere qo.,S03,chatgpt,na veika e filia ki na kooti ni veika e lesu tu kina e tawa mai ena noda ivakamacala e vakayacori tiko ena kooti ni veika e lesu tu kina i raita.,,,,,annotator_A
SEG000426,medical,,fj->en,E rawa ni da raica na veisau ni noda kana me vaka na kana vakasivia se kana vakalailai.,"We might notice changes in our appetite, such as eating too much or too little.",S01,microsoft_translate,We can see changes in our diet such as eating too much or eating too little.,,,,,annotator_A
SEG000104,conversational,,fj->en,eda rawa ni lako i/lai tauni.,we can go to town.,S04,google_translate,we can go to town.,,,,,annotator_A
SEG000034,bible,,fj->en,"ia, sa kaukauwa tikoga na nona veqa ni dakai “na ligana sa vakaukauwataki mai vua na liga kaukauwa ni kalou i jekope (mai vua na i vakatawa levu na vatu kei isireli),","but his bow abode in strength, and the arms of his hands were made strong by the hands of the mighty god of jacob; (from thence is the shepherd, the stone of israel: )",S01,microsoft_translate,"However, his bow was still strong, ""his hand strengthened by the mighty hand of the God of Jacob (by the Great Shepherd the Rock of Israel),",,,,,annotator_A
SEG000422,medical,,fj->en,Anxiety is a normal human emotion that can feel like changing waves on the ocean.,Na loma taqaya e dua nai vakarau vakayalo e dau yaco vakawasoma ka rawa ni vaka na veisau ni ua ni wasawasa.,S04,google_translate,Anxiety is a normal human emotion that can feel like changing waves on the ocean.,,,,,annotator_A
SEG000100,conversational,,fj->en,vinaka vakalevu na lagasere.,thanks for the singing.,S04,google_translate,very good singing.,,,,,annotator_A
SEG000127,definition,,en->fj,"speak, talk, word, language",vosa,S04,google_translate,"vosa, vosa, vosa, vosa .",,,,,annotator_A
SEG000306,legal,,fj->en,"kevaka e dua na vosa se ivakamacala e vakaibalebale ena yavunivakavulewa qo, me wiliki ka raici na kena ibalebale ena iyatuvosa; kei na","if a word or expression is defined in this constitution, any grammatical variation or cognate expression of the word or expression has a corresponding meaning, read with the changes required by the context; and",S02,gemini,"If any word or expression is meaningful in this constitution, its meaning shall be read and understood within the phrase; and the",,,,,annotator_A
SEG000054,conversational,,en->fj,what are you doing on saturday?,na cava o cakava e na siga vakarauwai?,S03,chatgpt,o cei e keirau ena sataduri?,,,,,annotator_A
SEG000229,idiom,,fj->en,Maqa na leqa! Sa matua na raisi,[Literal Translation:There is no problem! There is rice at hand. It implies that we should not be worried. Everything is okay] [Meaning:],S04,google_translate,Maqa and the problem! The rice is ripe,,,,,annotator_A
SEG000433,medical,,fj->en,We might have trouble concentrating and staying focused.,E rawa ni dredre meda vakasamataka vinaka na veika ka sega ni rawarawa meda vakabibitaka e dua na ka.,S01,microsoft_translate,We might have trouble concentrating and staying focused.,,,,,annotator_A
SEG000075,conversational,,en->fj,ants are tiny crawling insects.,era manumanu lalai na qasikalolo.,S04,google_translate,na lago era manumanu lalai era dau vuka.,,,,,annotator_A
SEG000260,legal,,en->fj,is not subject to a sentence of imprisonment when nominated;,e sega ni cakacakataka tiko na nona itotogi e valeniveivesu ena gauna sa vakaturi kina;,S03,chatgpt,e sega ni taura ki te pasese ni saumi ni saumi.,,,,,annotator_A
SEG000303,legal,,en->fj,right to equality and freedom from discrimination,dodonu ni tamata me qaravi vakatautauvata ena mata ni lawa kei na galala mai na veivakaduiduitaki,S04,google_translate,dodonu ni tautauvata kei na galala mai na veivakaduiduitaki .,,,,,annotator_A
SEG000143,definition,,en->fj,school teacher,qase ni vuli,S04,google_translate,qasenivuli ni koronivuli,,,,,annotator_A
SEG000117,conversational,,fj->en,na yacai tamaqu o salesh.,my father’s name is salesh.,S03,chatgpt,I will return with a reply soon.,,,,,annotator_A
SEG000323,legal,,fj->en,vakayagataki vakamatau ni iyau ni matanitu;,"efficient, effective and economic use of public resources;",S04,google_translate,responsible use of government resources;,,,,,annotator_A
SEG000347,legal,,fj->en,"na isau, idole, kei na oco me saumi e dodonu me veiganiti kei na ivotavota ni ilavo e vakadonuya na palimedi; kei na","the salaries, benefits and allowances payable, in accordance with its budget as approved by parliament; and",S02,gemini,"the payment, allowances, and expenses to be paid must be consistent with the allocation of funds approved by parliament; and the",,,,,annotator_A
SEG000388,medical,,en->fj,Symptoms may worsen over time.,E rawa ni ca vakamalua na ivakatakilakila.,S02,gemini,Na ivakatakilakila ni mate e rawa ni ca cake ni toso tiko na gauna.,,,,,annotator_A
SEG000452,medical,,fj->en,"Kevaka sa bibi na ivakatakilakila, gole vakatotolo ki na vale ni bula e qarava vakatabakidua na COVID-19.","If your symptoms become severe, go immediately to a dedicated health facility.",S03,chatgpt,"If you see any symptoms, go quickly to a healthcare facility that manages COVID-19.",,,,,annotator_A
SEG000382,medical,,en->fj,The symptoms of vascular dementia can start suddenly after a stroke.,Na ivakatakilakila ni vascular dementia e rawa ni tekivu vakasauri ni oti e dua na stroke.,S02,gemini,Na ivakatakilakila ni dementia ni daukana e rawa ni tekivu vakasauri ni oti na lualua.,,,,,annotator_A
SEG000008,bible,,en->fj,"but unto cain and to his offering he had not respect. and cain was very wroth, and his countenance fell.",sa sega ni taleitaki keni kei na nona i soro. sa cudru sara vakalevu o keni ka sa duatani mai na kena i rairai.,S02,gemini,"Ia vei Keini kei na nona madrali e sega ni ciqoma. Ka sa cudru vakalevu sara ko Keini, ka sa lutu na matana.",,,,,annotator_A
SEG000050,conversational,,en->fj,is there roast chicken?,e tiko na toa vavi?,S03,chatgpt,e rawa ni paika na keke?,,,,,annotator_A
SEG000234,idiom,,fj->en,"Dromu na vula, dromu vata kei na kena kalokalo","[Literal Translation:The moon sets and its star sets with it] [Meaning:that the death of one individual can quickly bring on the death of a spouse, close relative or associate.]",S03,chatgpt,"Run in the rain, run together with the joy.",,,,,annotator_A
SEG000278,legal,,en->fj,"the qualification requirements for appointment and the process to be followed for appointment, which must be an open, transparent and competitive selection process based on merit; ----------------------- page -----------------------","ivakatagedegede ni vuli e gadrevi kei na ivakarau me vakamuri me baleta na veivakacakacakataki, ka dodonu me dola raraba, vakarawarawataki, valataki vakasavasava, ia na veidigitaki me yavutaki ena rawaka;",S01,microsoft_translate,"na veika e gadrevi me baleta na veilesi kei na iwalewale me muri me baleta na veilesi, ka dodonu me dua na iwalewale ni digidigi e tadola tu, matata ka veisisivi e yavutaki ena merit; ----------------------- tabana -----------------------",,,,,annotator_A
SEG000359,medical,,en->fj,Problems with language.,Na leqa ena vosa.,S01,microsoft_translate,Leqa ena vosa.,,,,,annotator_A
SEG000203,dictionary,,fj->en,gaunisala,the branch in the road (where it divides). na veibasoga ni kawa n. the division of kinship lineage. syn. basaga.,S02,gemini,road,,,,,annotator_A
SEG000406,medical,,en->fj,Memory lapses alone do not mean you have dementia.,Na guiguileca duadua e sega ni kena ibalebale ni sa tauvi iko na dementia.,S03,chatgpt,Na lewa ni moce e sega ni taura na nomu vakasaqaqa me ikoya e dua na taro ni vuni ni yalo.,,,,,annotator_A
SEG000400,medical,,en->fj,"If you are over 70 and have COVID-19 symptoms, seek medical care.","Kevaka o sivia na 70 na yabaki ka vakila na ivakatakilakila ni COVID-19, qarai vakatotolo na veivuke vakavuniwai.",S03,chatgpt,"Kei te teitei atu koe i te 70 me he tohu COVID-19, rapua te awhina rongoā.",,,,,annotator_A
SEG000168,definition,,fj->en,"dau, tu ga",always,S04,google_translate,"always, just",,,,,annotator_A
SEG000205,dictionary,,fj->en,during,"the latter half of the hurricane season (roughly november through april). the wind is thought to be related to some dry skin conditions, and a chapping of the lips.",S03,chatgpt,during,,,,,annotator_A
SEG000017,bible,,en->fj,"and said unto them, i see your father's countenance, that it is not toward me as before; but the god of my father hath been with me.","sa tukuna vei rau, ""au sa raica na nona veitokoni o tamamudrau “ni sa sega ni vinaka me vaka e liu, ia, na kalou i tamaqu sa tiko vata kei au.",S02,gemini,"ka sa tukuna vei iratou, au raica na mata i tamudra, ni sa sega ni vei au me vaka eliu; ia na Kalou ni tamaqu sa tiko vata kei au.",,,,,annotator_A
SEG000282,legal,,en->fj,the court of disputed returns must make a determination on any petition or proceeding within days of the date when the petition or proceeding is brought before it.,na mataveilewai ni kudru ni veidigidigi e dodonu me na vakatulewataka na kudru se na veilewai kece e kau cake mai ena loma ni na siga mai na siga e ciqoma kina na kudru se na veilewai qo.,S02,gemini,Na Mataveilewai ni Veisisivi ni Veitokonaki e dodonu me na vakatulewa ena dua ga na kerekere se veilewai e loma ni [n] na siga mai na siga e kau mai kina na kerekere se veilewai ki matana.,,,,,annotator_A
SEG000232,idiom,,fj->en,solisoli vakatoa,"[Literal Translation:give like a rooster (who offers the female some food in the beak and then grabs it back}] [Meaning:Giving and then taking back,]",S04,google_translate,total supply,,,,,annotator_A
SEG000241,legal,,en->fj,an office established by written law; “public officer ” means the holder of a public office; “public service ” means the service of the state in a civil capacity but does not include—,valenivolavola e tauyavutaki ena lawa tabaki. “vakailesilesi ena valenivolavola ni lewenivanua” e vakaibalebale vua e dua e vakaitutu ena valenivolavola ni lewenivanua; “veiqaravi ni matanitu” e vakaibalebale ena veiqaravi ni matanitu vei ira na lewenivanua ka sega ni oka kina na—,S04,google_translate,e dua na valenivolavola e tauyavutaki ena lawa volai; “ovisa ni matanitu ” e kena ibalebale o koya e taukena e dua na itutu ni matanitu; “veiqaravi raraba ” e kena ibalebale na veiqaravi ni matanitu ena dua na itutu vakamatanitu ia e sega ni okati kina—,,,,,annotator_A
SEG000133,definition,,en->fj,honorific prefix (woman),adi,S04,google_translate,ivakamacala vakaturaga (yalewa),,,,,annotator_A
SEG000141,definition,,en->fj,better,vinaka (cake),S02,gemini,Vinaka cake,,,,,annotator_A
SEG000318,legal,,fj->en,rawa vua na matabose me vakasamataka tale ga na nodra rai na vakaleqai ena kisi qo.,may consider the views of the victims of the offence.,S04,google_translate,the board can also take into account the views of the victims in the case.,,,,,annotator_A
SEG000134,definition,,en->fj,marker for common nouns,a,S03,chatgpt,marker ni na i nomu vulavula,,,,,annotator_A
SEG000370,medical,,en->fj,Do not use public transport or taxis.,Kakua ni vakayagataka na tolili ni lewenivanua se na taxi.,S03,chatgpt,Ena no usea na transport public kei na taxi.,,,,,annotator_A
SEG000440,medical,,fj->en,"Na ivakatakilakila ni COVID-19 e oka kina na vuvu, katakata, savu ni ucu, wadadamu na mata, kei na sega ni vakila na ikanakana se boica.","COVID-19 symptoms include cough, fever, runny nose, red eyes, and loss of taste or smell.",S04,google_translate,"Symptoms of COVID-19 include cough, fever, runny nose, red eyes, and loss of taste or smell.",,,,,annotator_A
SEG000427,medical,,fj->en,We may have trouble sleeping and find it hard to get things done.,E rawa ni dredre na moce ka sega ni rawarawa meda qarava na veika eda dodonu me da cakava.,S04,google_translate,We have trouble sleeping and find it hard to get things done.,,,,,annotator_A
SEG000330,legal,,fj->en,"kevaka e vakaraitaki na tikoleqa vakamatanitu ni sega ni dabe na palimedi, na sipika e dodonu me na kerea na nodra veivakadeitaki na lewenipalimedi ena veimataqali gaunisala ni veitaratara e rawa ena loma ni na aua mai na gauna sa vakaraitaki kina na tikoleqa vakamatanitu.","if the declaration of a state of emergency is made when parliament is not sitting, the speaker must, within hours upon the making of the declaration, seek confirmation of the declaration from the members of parliament through such measures of communication as necessary.",S01,microsoft_translate,"If the national vacancy is declared when the prime minister is not seated, the party must seek the confirmation of the members of parliament through any possible means of communication within one hour of the date of the declaration of the national vacancy.",,,,,annotator_A
SEG000367,medical,,en->fj,"Anyone can get dementia, but the chance increases with age.","E rawa ni dua ga e tauvi dementia, ia e tubu na kena loloma ni sa qase na tamata.",S04,google_translate,"E rawa ni tauvi koya e dua ga na mate ni vakasama, ia e tubu na kena rawa ni yaco na yabaki ni bula.",,,,,annotator_A
SEG000222,idiom,,fj->en,sa na siri na duamu,[Literal Translation:your legs will get knocked out from under you.] [Meaning: Usually said to a man attracted to a girl that he will fall hopelessly in love.],S04,google_translate,you're going to have a secret,,,,,annotator_A
SEG000218,dictionary,,fj->en,cilo,"n. (medical) blood in the faeces. cilu, ciluma . v. to pick at, remove one or a few things from inside a pile of them, ""fish around"" for something selectively. syn. (slang., eng.) samarini. cilu, ciluma . v. of birds, bats, to peck at, maturing fruit for example. cina, cinava v. to illuminate, cast light on, usually by lamplight or torch. cina lamp, torch. cina livaliva",S02,gemini,dawn,,,,,annotator_A
SEG000270,legal,,en->fj,"the members of the commission shall be entitled to such remuneration as determined by the president acting on the advice of the judicial services commission following consultation by the judicial services commission with the attorney-general, and any such remuneration must not be varied to their disadvantage, except as part of an overall austerity reduction similarly applicable to all officers of the state.","na lewenimatabose me na saumi ena isau ni veiqaravi e vakatautaka na peresitedi ena ivakasala ni matabose veiqaravi ni mataveilewai ni salamuria na veitalanoa kei na vunilawa, ia na isau me kua ni veisautaki vakavo ke vakayacori e dua na veisau me vakalailaitaki kina na isau, na veisau me vakayacori vakatautauvata vei ira kece na vakailesilesi vakamatanitu.",S01,microsoft_translate,"E dodonu vei ira na lewe ni Komisina me ra ciqoma na isau oqori me vaka sa lewa na Peresitedi ena ivakasala ni Judicial Services Commission ni oti na nodratou veitalanoa na Judicial Services Commission kei na Attorney-General, ka me kakua ni veisautaki na isau oqori me vakaleqai kina, vakavo ga me tiki ni kena vakalailaitaki na isau raraba ka vakakina vei ira kece na vakailesilesi ni Yasana.",,,,,annotator_A
SEG000437,medical,,fj->en,"Kevaka o tauvi levulevu sivia ka vakila na ivakatakilakila ni COVID-19, gole vakatotolo ki na screening clinic.","If you have obesity and COVID-19 symptoms, visit a screening clinic immediately.",S03,chatgpt,"If you develop severe symptoms and see signs of COVID-19, go immediately to the screening clinic.",,,,,annotator_A
SEG000077,conversational,,en->fj,she is in year .,e tiko e na yabaki vakavuli.,S01,microsoft_translate,Sa yabaki tiko o koya .,,,,,annotator_A
SEG000328,legal,,fj->en,"tabaki vakalawa na isoqosoqo ni tamata cakacaka, kei na isoqosoqo ni tamata dau veivakacakacakataki;","for the purposes of regulating trade unions, or any federation, congress, council or affiliation of trade unions, or any federation, congress, council or affiliation of employers;",S04,google_translate,"legally published trade unions, and employers' associations;",,,,,annotator_A
SEG000309,legal,,fj->en,"ena yavunivakavulewa qo, ena kena vakamacalataki e dua na tamata, se matabose, se tabacakacaka e sega ni vakarorogo se vakarurugi vua e dua se dua na matabose se tabacakacaka ena nona qaravi itavi se vakayagataka na nona kaukauwa, e sega ni kena ibalebale me tarova na kaukauwa ni mataveilewai me vaqaqa na tamata, se matabose, se tabacakacaka kevaka e sa vakayacora se vakayagataka na nona kaukauwa me vaka e virikotori ena yavunivakavulewa qo se kevaka na tamata ya, matabose se tabacakacaka e dodonu se sega ni dodonu me vakayacora se vakayagataka na nona kaukauwa.",a provision of this constitution to the effect that a person or authority is not subject to the direction or control of any other person or authority in the performance of functions or the exercise of powers is not to be construed as precluding a court of law from exercising jurisdiction in relation to a question whether the first mentioned person or authority has performed the functions or exercised the powers in accordance with this constitution or whether that person or authority should or should not perform the functions or exercise the powers.,S03,chatgpt,"In this constitution, it is explained that a person, or an organization, or a body that does not respect or protect another person or organization or body in its duties or using its power, does not imply that the power of the judiciary should prevent the person, organization, or body if it has exercised or used its power as stated in this constitution, or if that person, organization, or body should or should not exercise or use its power.",,,,,annotator_A
SEG000103,conversational,,fj->en,na vuata au dau taleitaka na meleni.,my favourite fruit is watermelon.,S03,chatgpt,I love the color yellow.,,,,,annotator_A
SEG000051,conversational,,en->fj,how are you?,vacava tiko?,S01,microsoft_translate,O sa vakaevei?,,,,,annotator_A
SEG000096,conversational,,fj->en,e vica na kena isau?,how much for the serve?,S01,microsoft_translate,how much does it cost?,,,,,annotator_A
SEG000390,medical,,en->fj,Fatigue may be a symptom.,Na oca e rawa ni ivakatakilakila ni mate.,S01,microsoft_translate,Na wawale e rawa ni dua na ivakatakilakila.,,,,,annotator_A
SEG000423,medical,,fj->en,Na kena tarovi na gunu yaqona kei na wai gaga ni veivakamatenitaki e vukea na noda vakasama me rairai vinaka kina na sala ni wali ni leqa.,Avoiding alcohol and other drugs helps us think clearly about our problems.,S02,gemini,Stopping the consumption of kava and intoxicating liquids helps our minds to clearly see the path to solutions.,,,,,annotator_A
SEG000330,legal,,fj->en,"kevaka e vakaraitaki na tikoleqa vakamatanitu ni sega ni dabe na palimedi, na sipika e dodonu me na kerea na nodra veivakadeitaki na lewenipalimedi ena veimataqali gaunisala ni veitaratara e rawa ena loma ni na aua mai na gauna sa vakaraitaki kina na tikoleqa vakamatanitu.","if the declaration of a state of emergency is made when parliament is not sitting, the speaker must, within hours upon the making of the declaration, seek confirmation of the declaration from the members of parliament through such measures of communication as necessary.",S03,chatgpt,"Because the guidelines for public service provisions do not specify the parameters, the institution is required to request confirmation from the public when various forms of communications may occur during the time the public service provisions are highlighted.",,,,,annotator_A
SEG000059,conversational,,en->fj,is there chicken palau?,e tiko na palau toa?,S02,gemini,E tiko beka na toa palau?,,,,,annotator_A
SEG000203,dictionary,,fj->en,gaunisala,the branch in the road (where it divides). na veibasoga ni kawa n. the division of kinship lineage. syn. basaga.,S03,chatgpt,excuse me,,,,,annotator_A
SEG000028,bible,,fj->en,"o jiova sa tu mai cake ka tukuna: ""oi au o jiova na kalou i eparaama, na kalou i aisake. na qele o davoca tiko oqori, au na solia vei iko kei ira na nomu kawa.","and, behold, the lord stood above it, and said, i am the lord god of abraham thy father, and the god of isaac: the land whereon thou liest, to thee will i give it, and to thy seed;",S01,microsoft_translate,"It was Jehovah who stood on high and declared: ""I am Jehovah the God of Abraham, the God of Isaac. the land on which thou liest I will give it unto thee and to thy seed.",,,,,annotator_A
SEG000334,legal,,fj->en,"na ivakatagedegede ni vuli e gadrevi kei na ivakarau me vakamuri me baleta na veivakacakacakataki, ka dodonu me dola raraba, vakarawarawataki, valataki vakasavasava, ia na veidigitaki me yavutaki ena rawaka;","the qualification requirements for appointment and the process to be followed for appointment, which must be an open, transparent and competitive selection process based on merit;",S04,google_translate,"the educational standards required and the procedure to be followed for recruitment, which should be open, facilitated, cleanly fought, but candidates based on merit;",,,,,annotator_A
SEG000455,medical,,fj->en,"Kevaka o tauvi dau cegu oca ka vakila na ivakatakilakila ni COVID-19, gole vakatotolo ki na screening clinic.","If you have asthma and COVID-19 symptoms, visit a screening clinic immediately.",S03,chatgpt,"If you are experiencing symptoms of COVID-19, go quickly to the screening clinic.",,,,,annotator_A
