item_id,source_text,ref,domain,direction,sentence_type_fine,source_id,source_doc,cand_A,cand_B,cand_C,cand_D,cand_A__semantic_fidelity_0_4,cand_A__cultural_adequacy_0_4,cand_A__fluency_0_4,cand_A__error_tags,cand_A__notes,cand_B__semantic_fidelity_0_4,cand_B__cultural_adequacy_0_4,cand_B__fluency_0_4,cand_B__error_tags,cand_B__notes,cand_C__semantic_fidelity_0_4,cand_C__cultural_adequacy_0_4,cand_C__fluency_0_4,cand_C__error_tags,cand_C__notes,cand_D__semantic_fidelity_0_4,cand_D__cultural_adequacy_0_4,cand_D__fluency_0_4,cand_D__error_tags,cand_D__notes
11,human rights and anti-discrimination commission,matabose ni dodonu ni tamata kei na valuti ni veivakaduiduitaki,legal,en->fj,legal_clause,constitution|45,constitution - eng.txt,ita ni tamata kei na komiti ni vuku ni veika e sa vola tiko ena ngawa kei na vakanananu ni veivakadrukai,Human Rights and Anti-Discrimination Commission,Komiti ni Dodonu ni Tamata kei na Veivaluti ni Veivakaduiduitaki,dodonu ni tamata kei na komisi ni veivakaduiduitaki,,,,,,,,,,,,,,,,,,,,
12,"the qualification requirements for appointment and the process to be followed for appointment, which must be an open, transparent and competitive selection process based on merit; ----------------------- page -----------------------","ivakatagedegede ni vuli e gadrevi kei na ivakarau me vakamuri me baleta na veivakacakacakataki, ka dodonu me dola raraba, vakarawarawataki, valataki vakasavasava, ia na veidigitaki me yavutaki ena rawaka;",legal,en->fj,obligation,constitution|70(8)(b),constitution - eng.txt,"na veika e gadrevi me baleta na veilesi kei na iwalewale me muri me baleta na veilesi, ka dodonu me dua na iwalewale ni digidigi e tadola tu, matata ka veisisivi e yavutaki ena merit; ----------------------- tabana -----------------------","na veivakadonui e gadrevi me baleta na veilesi kei na iwalewale me muri me baleta na veilesi, ka dodonu me dua na iwalewale ni digidigi e dolavi, matata ka veisisivi ka yavutaki ena kena rawati; draunipepa","na i vakatagedegede ni veidigidigi ni veivakadeitaki kei na i walewale me muri me baleta na veivakadeitaki, ka dodonu me dua na i walewale ni veidigidigi e dolavi, e matata, ka veisisivi ka yavutaki ena i tagedege ni rawaka;","na i tutuki ni vakacotona me baleta na vanua ni kena vakavakarau kei na cakacaka me baleta na vakacotona, e dodonu me dua na nodra toso vakamataka levu, e yoqona ka kilai levu ka tatouvanua ni rawaka, e da ni vakayacori ena veika e cavuti ena vakadidike;",,,,,,,,,,,,,,,,,,,,
13,mata ni vanua,herald,definition,fj->en,example,definition|000392,definition.xlsx::Sheet1,Spokesperson,the eye of the land,country representative,Embassy,,,,,,,,,,,,,,,,,,,,
14,"oqo, na vuna, ena biuta kina na tamana kei na tinana na tagane ka sema vei yalewa (watina), me rau sa yago vata.","therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh.",bible,fj->en,statement,bible|genesis|002|024,bible_genesis_verse__fj2en.csv,"Thus, in the end, the son will leave both his father and mother and be united with his wife.","For this reason, a man will leave his father and mother and be united to his wife, so that the two may become one flesh.","for this cause shall a man leave his father and mother, and shall cleave to his wife: and they twain shall be one flesh.","This, therefore, shall leave the father and mother of the man connected with the woman (his wife), and become one body.",,,,,,,,,,,,,,,,,,,,
15,"the report of the tribunal or the recommendations of the medical board, as the case may be, made under subsection () shall be made public. qualification for appointment .—() the making of appointments to a judicial office is governed by the principle that judicial officers should be of the highest competence and integrity.","na ripote ni mataveivaqaqai se na vakatutu ni matabose in bula e vakarautaki ena wasetiki () me na vakaraitaki raraba. veika me rawati ena veidigitaki .—() ena nona digitaki e dua na vakailesilesi ena mataveilewai, me tiko vua na ivakatagedegede cecere duadua ni dina kei na cakacaka savasava.",legal,en->fj,obligation,constitution|102(18),constitution - eng.txt,"na ripote ni mataveilewai se na vakatutu ni matabose ni veiqaravi vakavuniwai, me vaka na kena ituvaki, e caka ena ruku ni wasewase lailai () me na vakaraitaki raraba. na dodonu me lesi .—() na kena lesi na tamata ena dua na valenivolavola ni veilewai e lewai ena ivakavuvuli ni o ira na vakailesilesi ni veilewai e dodonu me ra kila ka cecere duadua ka yalodina.","na ripoti ni te tribunal se na veika e tukuna mai na medical board, me vaka na mataqali ni case, e vakabibitaki. na i tuvatuva me baleta na kena vakaraitaki .—() na vakawati ki na i ose ni mataivalu e governendara o na i tataraki e parasa tisa-na na mataivalu ni kena duavata kei na buliga ni vakarau kei na yavu ni ni vakadewataka.","Na ripote ni Mataveilewai se na vakatutu ni Matabose ni Vuniwai, me vaka na kena ituvaki, e caka ena ruku ni tikina () me na vakaraitaki raraba. Dodonu me lesi .—() Na lesi ki na dua na itutu ni mataveilewai e vakatulewataki ena ivakavuvuli ni o ira na vakailesilesi ni mataveilewai e dodonu me cecere duadua na nodra kila ka kei na yalodina.","nai tukutuku ni bose vuni-leqa se nai vakasala ni komiti ni veivakabulai, me vaka e gadrevi, ka caka ena ruku ni wase ( ) ena vakaraitaki vei ira na lewenivanua. Nai vakatagedegede ni digidigi.—( ) na vakatikori ki na itutu ni veilewai e vauci ena yavu ni dodonu mera tu vei ira na dauveilewai na dina levu kei na kila ka vinaka duadua.",,,,,,,,,,,,,,,,,,,,
16,"any office in a state service, including public service and the disciplined force;","na valenivolavola ni matanitu, okati kina na vakailesilesi vakamatanitu, kei na tabana ni veitaqomaki;",legal,en->fj,legal_clause,constitution|52(3)(e),constitution - eng.txt,"naOfisa e in a sevisio ni state, e vakavoliti na sevisio ni bula kei na dabaru ni matanitu;","e dua na itutu ena dua na tabana ni matanitu, oka kina na veiqaravi raraba kei na mataivalu vakaivakarau;","dua na itutu ena dua na veiqaravi ni matanitu, oka kina na veiqaravi raraba kei na kaukauwa ni veivakadodonutaki;","Na itutu cava ga ena dua na veiqaravi vakamatana, wili kina na veiqaravi raraba kei na veimataivalu ni matanitu;",,,,,,,,,,,,,,,,,,,,
17,"dodonu ni taukeni kei na taqomaki ni qele ni itaukei, rotuma kei na rabi","rights of ownership and protection of itaukei, rotuman and banaban lands",legal,fj->en,legal_clause,constitution|28,constitution - itaukei.txt,"the protection of indigenous land, Rotuma and Rabi","Property rights and protection of the lands of the proprietors, rats and rabbis.","right of ownership and the protection of iTaukei land, Rotuma and Rabi","rights of ownership and protection of indigenous lands, rotuma and rabi",,,,,,,,,,,,,,,,,,,,
18,tara-koro,"[Literal Translation:to build/touch village] [Meaning:To gossip together, as an informal group, about people, relatives, news from the villages (koro).]",idiom,fj->en,idiom_literal,idiom|idioms|000040|literal,Fijian Idioms - Copy.txt,wave crest,Building a village,squirrel,city-building,,,,,,,,,,,,,,,,,,,,
19,"the commission shall have the authority to appoint, remove and discipline all staff (including administrative staff) in the commission.","na matabose e tu vua na kaukauwa me vakacakacakataka, vakaceguya, se totogitaka na vakailesilesi taucoko (oka kina o ira na veiqaravi e valenivolavola) ena valenivolavola ni matabose.",legal,en->fj,obligation,constitution|109(14),constitution - eng.txt,"na komisi ena tu vua na lewa me lesi, kauta laivi ka vakadodonutaki ira kece na vakailesilesi (oka kina na vakailesilesi ni veiliutaki) ena komisi.","Na komisyon ena tiko vua na dodonu me lesia, vakasuka ka cudruva na lewenivava ni cakacaka kece (okati kina na lewenivava ni veiqaravi) ena loma ni komisyon.","na komisi e na dua na i vakatabagone me vakaraitaki, tosota kei na vakatulewa kina na tamata vakaitavi (vaka kina na tamata ni veika vakadministrativa) ena komisi.","E tiko vua na Komisina na dodonu me lesia, vagalalataki ka vakadodonutaki ira kece na vakailesilesi (oka kina na vakailesilesi veiliutaki) ena Komisina.",,,,,,,,,,,,,,,,,,,,
20,adi,honorific prefix (woman),definition,fj->en,headword,definition|000003,definition.xlsx::Sheet1,Adi,father,how much,Lady,,,,,,,,,,,,,,,,,,,,
21,"For concerns about a family history of dementia, talk to your doctor.","Kevaka ko leqataka na isema ni vuvale kei na dementia, vosa vua na nomu vuniwai.",medical,en->fj,treatment,medical|dementia_support|6d98b3725360,ocr_txt_bundle::dementia_support,"O koya me baleta na itukutuku ni vale ni veimati, tukuna nomu i vakaraitaki ki na dokita.","Me baleta na leqa me baleta na itukutuku makawa ni mate ni matavuvale, veivosaki kei nomu vuniwai.","Me baleta na kauwai me baleta e dua na itukutuku ni matavuvale ni mate ni vakasama, veitalanoa kei na nomu vuniwai.","Ke o kauwai ena vuku ni itukutuku vakamaravuvale ni dementia, veivosaki kei na nomu vuniwai.",,,,,,,,,,,,,,,,,,,,
22,"ena tikina qo— “dinau lavaki” kena ibalebale na, tubu, na sausaumi ena tobu e tauyavutaka na matanitu ena inaki ni vakalailaitaki ni saumi ni dinau se na kena saumi na dinau e se bera ni saumi kei na kena voli na iyau maroroi vua na matanitu, na levu ni ilavo dinautaki me saumi lesu kei na so tale na ilavo e vakayagataki ena vakatuburi ni ilavo kerei ena kena maroroi na ilavo ni matanitu se ena tobu ni umailavo cokovata ni matanitu; “veiqaravi e ganita” kena ibalebale na veiqaravi raraba ena valenivolavola ni lewenivanua, sega ni okati kina na veiqaravi ena mataivalu e wai, mataivalu e vanua kei na mataivalu e macawa; kei na “idole ni peniseni” kena ibalebale na ilavo ni vakacegu, ivakayaga, ilavo saumi taumada se so tale na sausaumi e soli vua e dua ena nona veiqaravi se vei ira na watidra, luvedra, se dua ga e matataki koya mai. ----------------------- page ----------------------- ivakarau ni cakacaka","in this section— “debt charges” means interest, sinking fund charges, amounts due in respect of repayment or amortisation of debt, and other expenditure incurred in connection with the raising of loans on the security of the revenue of the state or the consolidated fund; “eligible service” means service in a public office but does not include service in a naval, military or air force; and “pension benefits” means pensions, compensation, gratuities or other like payments payable to persons in respect of their eligible service or to their spouses, dependents, or personal representatives in respect of that service. ----------------------- page ----------------------- code of conduct",legal,fj->en,definition,constitution|146(2),constitution - itaukei.txt,"in this regard— “required debt” means, interest, payments on a fund established by the government for the purpose of reducing the repayment of debt or the repayment of outstanding debt and the purchase of assets deposited with the government, the amount of debt to be repaid and other funds used in the raising of government funds; “eligible service” means general service in public office, excluding service in the navy, land force and air force; and “pension idol” means retirement benefits, benefits, advance payments or other payments given to a person for his or her service or to their spouse, children, or anyone who represents him or her. ----------------------- page ------------------------ mode of operation","In this section— ""Borrowed loan"" means, interest, the payment in the well established by the Government for the purpose of reducing the payment of a loan or the payment of outstanding debts and the purchase of government reserves, the amount of borrowed money to be repaid and other sums incurred in raising the borrowed money for the purpose of preserving the public treasury or in the pools of the government's consolidated funds; ""essential service"" means public service in public office, excluding service in the navy, navy and air force; and ""pension bonuses"" means retirement, allowances, advances or other payments made to a person in his or her service or to their spouses, children, or anyone on his or her behalf. ----------------------- page ----------------------- system","This text translates to: 

""One definition of “debt relief” is the reduction or cancellation of debt repayments imposed on a country with the aim of reducing the repayment burden or the need to pay off debts before the sale of assets owned by the state, the amount of legitimate debt to be repaid along with other amounts utilized in the raising of funds for the safeguarding of state finances or during the total debt exposure of the state; “public service” refers to general services in the local government office, excluding services in the military, local government services, and emergency services; and “income-driven repayment” refers to funds for relief, benefits, direct payment, or other expenses given to someone in their service or in regard to their spouse, children, or just one who is responsible for them.""","In this section— ""debt service"" means interest, payments into a fund established by the government for the purpose of reducing or paying off outstanding debt, and the purchase of government securities, the principal amount of borrowed money to be repaid, and any other funds used to generate the requested funds for the maintenance of government funds or in the consolidated government fund pool; ""civil service"" means public service in the civil administration, excluding service in the navy, army, and air force; and ""pension entitlement"" means retirement funds, gratuity, lump sum payments, or any other payments made to a person for their service or to their spouse, children, or anyone representing them. Procedure",,,,,,,,,,,,,,,,,,,,
23,o jekope sa vakatala eso na mata vei iso na tacina ena vanua nei sia e itomi.,"and jacob sent messengers before him to esau his brother unto the land of seir, the country of edom.",bible,fj->en,statement,bible|genesis|032|003,bible_genesis_verse__fj2en.csv,And Jacob sent messengers unto Esau his brother unto the land of Edom.,I will send you the details of the place where you will meet your brother in his hometown.,Jacob sent messengers to Esau his brother in the land of Seir in Edom.,Jacob had sent ambassadors to his brother Iso in the land of Shia in Itom.,,,,,,,,,,,,,,,,,,,,
24,now abraham and sarah were old and well stricken in age; and it ceased to be with sarah after the manner of women.,o eparaama kei sera e rau sa qase sara ka sa levu na nodrau veiyabaki; sa sivia talega o sera na veiyabaki ni vakasucu gone.,bible,en->fj,statement,bible|genesis|018|011,bible_genesis_verse__en2fj.csv,"Oqo erau sa qase sara ko Eparama kei Sera, ka sa mudu vei Sera na nodra ivakarau na yalewa.",oqo erau sa qase sara ko Eparaama kei Sera ka sa levu sara na nodrau yabaki; a sa mudu vei Sera me vaka nai valavala ni yalewa.,ia sa abraham ka sarah e dua na nodra yabaki gaga ka mudu; ka sa sega ni yaco vei sarah e na ivakarau ni vakatagana.,Ia ko Eparaama kei Sera erau sa qase sara ka rau sa qase sara; A sa sega tale ni tiko vei Sera me vaka na kena ivalavala vakamarama.,,,,,,,,,,,,,,,,,,,,
25,People with diabetes should monitor their symptoms closely during COVID-19.,Ira era tauvi mate ni suka me ra vakaraica vakavinaka na nodrau ivakatakilakila ni COVID-19.,medical,en->fj,symptom,medical|covid_general|e729b7c2b694,ocr_txt_bundle::covid_general,Oni e dua na diabetes e dodonu me raunitaka vinaka na nodra iwalewale ni gauna ni COVID-19.,O ira na tamata e tauvi ira na matenisuka me ra raica vakavinaka na nodra ivakatakilakila ena gauna ni COVID-19.,O ira na tauvi mate ni suka mera dikeva vinaka na kedra ivakatakilakila ena gauna ni COVID-19.,Tamata ika vuvu ni suka e dodonu me raica vakavinaka na nodra ivakatakilakila ena gauna ni COVID-19.,,,,,,,,,,,,,,,,,,,,
26,right to health,dodonu ni tikobulabula,legal,en->fj,right,constitution|38,constitution - eng.txt,Dodonu ki na Bula,dodonu ni bula,dodonu ki te bula,dodonu ni bula,,,,,,,,,,,,,,,,,,,,
27,Finding out early that you have dementia means you can get help sooner.,Na nomu kila taumada ni tauvi iko na dementia e kena ibalebale ni rawa ni vukei iko vakatotolo na kenadau.,medical,en->fj,information,medical|dementia_support|d20c052bcb5d,ocr_txt_bundle::dementia_support,Ni ko kila totolo ni o tauvi dementia e kena ibalebale ni o na rawa ni vukei vakatotolo.,E sega ni veivakawati i yaco mo ni sa na yadra na nomu vakatutu.,"Na kila e liu ni tiko vei iko na dementia, e kena ibalebale o na rawa ni ciqoma na veivuke vakatotolo.",Na nomu kila totolo ni tiko vei iko na mate ni vakasama e kena ibalebale ni rawa ni o rawata na veivuke ena gauna totolo.,,,,,,,,,,,,,,,,,,,,
28,"If you experience difficulty breathing, seek immediate medical attention.","Kevaka o vakila na taqa ni icegu, qarai vakatotolo na veivuke vakavuniwai.",medical,en->fj,instruction,medical|medical_misc|7b747939edc5,ocr_txt_bundle::medical_misc,"Kevaka o sotava na dredre ni cegu, qara vuniwai sara ga vakatotolo.","Kei te mōhio koe ki te uaua ki te manawa, kitea te āwhina rongoā inā te wā.","Kevaka e dredre mo cegu, vaqara veiqaravi vakavuniwai vakatotolo.","Ke o sotava ni dredre na nomu cegu, lai qaravi vakavuniwai sara.",,,,,,,,,,,,,,,,,,,,
29,any application made to the court of disputed returns under this section must be determined by the court of disputed returns within days of the date when the application is made to it.,na kerekere e kau cake mai ena mataveilewai ni kudru ni veidigidigi ena tikina qo e dodonu me na vakatulewa kina na mataveilewai ni kudru ni veidigidigi ena loma ni na siga mai na siga e ciqoma kina na kerekere qo.,legal,en->fj,obligation,constitution|61(6),constitution - eng.txt,na veika e filia ki na kooti ni veika e lesu tu kina e tawa mai ena noda ivakamacala e vakayacori tiko ena kooti ni veika e lesu tu kina i raita.,Na kerekere e caka ki na Mataveilewai ni Veibataki ni Lesu Mai ena ruku ni wase oqo e dodonu me vakatulewataka na Mataveilewai ni Veibataki ni Lesu Mai ena loma ni siga mai na tikinisiga e vakayacori kina na kerekere.,na kerekere cava ga e vakayacori ki na mataveilewai ni veivakacacani ena ruku ni wase oqo e dodonu me vakatulewataka na mataveilewai ni veivakacacani ena loma ni vica na siga mai na siga e vakayacori kina na kerekere.,E dua na kerekere e caka ki na Matanalevu ni Veilewai ni Veibataki ni Lesu Mai ena ruku ni wase ni lawa oqo e dodonu me vakatulewataki mai na Matanalevu ni Veilewai ni Veibataki ni Lesu Mai ena loma ni ____ siga mai na siga ka sa caka kina na kerekere ki na matanalevu.,,,,,,,,,,,,,,,,,,,,
30,vakaseuta na bure ni kadi,[Literal Translation:to scratch into an ants nest] [Meaning:to stir up trouble.],idiom,fj->en,idiom_literal,idiom|idioms|000040|literal,Fijian Idioms - Copy.txt,the one who started a game is asking to stop it,The roof of the house is leaking.,send card bureau,Stir up the house of cards,,,,,,,,,,,,,,,,,,,,
